file_name_id,file_name,percent_fit,is_opportunity_application_emailed,opportunity_application_email_date,is_remote_delivery,manager_notes
0,(Lead_Data_Scientist)_Lead_Product_Analyst_-_California_-_Indeed.com_41474394e8c4b721.html,,,,,
1,AI_Data_Scientist_37b6afdb11e31188.html,,,,,
2,AI_ML_Engineer_-_Virginia_-_Indeed.com_edbbf93fc5210a17.html,,,,,
3,AI_Solutions_Engineer_-_United_States_-_Remote_-_Indeed.com_4ef63c252489666f.html,,,,,
4,"AVP,_Data_Science_-_Fort_Mill,_SC_29715_-_Indeed.com_bba3b2578c9adb92.html",,,,,
5,"A_AI_Machine_Learning_Engineer_Asc_-_Shelton,_CT_06484_-_Indeed.com_aeb15e43a6800b9d.html",,,,,
6,Applied_Data_Scientist_9138b0b8601b00b9.html,,,,,
7,Applied_Scientist_(Remote)_-_Remote_-_Indeed.com_0e94073a1c937bd1.html,,,,,
8,Arity-Senior_Data_Scientist_-_(Remote-Home_Based_Worker)_e5e27807a8736ae9.html,,,,,
9,"Artificial_Intelligence_Architect_-_New_York,_NY_-_Indeed.com_938897f7dc30bcce.html",,,,,
10,"Artificial_Intelligence_Engineer,_PhD_-_Burlington,_VT_05401_-_Indeed.com_11f154d53a390364.html",,,,,
11,Artificial_Intelligence_Specialist_-_Remote_-_Indeed.com_a751f95c5818f9c7.html,,,,,
12,"Assistant_Director,_Data_Science_(STP)_-_Remote_-_Indeed.com_f33a9750898d12d4.html",,,,,
13,"Associate_Director_Machine_Learning_Data_Scientist_-_Eden_Prairie,_MN_55346_-_Indeed.com_d3d3520998346837.html",,,,,
14,"Backend_Distributed_ML_Engineer_-_New_York,_NY_10065_-_Indeed.com_bfb11e13c321848d.html",,,,,
15,"Bi_Developer_Data_Scientist_-_Mechanicsville,_VA_23116_-_Indeed.com_b7517e6a7ffda077.html",,,,,
16,"Big_Data_Engineer_-_New_York,_NY_10001_-_Indeed.com_2df6a1e69a70a1e7.html",,,,,
17,"Business_Intelligence_Analyst_Data_Scientist_-_New_York,_NY_10004_-_Indeed.com_049a66f3ffa9366a.html",,,,,
18,"COVID_Senior_Data_Analyst_-_Lab_Data_-_Long_Island_City,_NY_11101_-_Indeed.com_c6b5143eab3dbe34.html",,,,,
19,Carbon_Credit_Statistician_-_Massachusetts_-_Indeed.com_27b70883756a2db2.html,,,,,
20,Central_Data_Scientist_-_Remote_-_Indeed.com_59237124d676ae4d.html,,,,,
21,"Chief_Data_Scientist_-_Washington,_DC_20003_-_Indeed.com_1926fbf6be4f62ee.html",,,,,
22,Clinical_Data_Science_Product_Manager_-_Remote_-_Indeed.com_fb363ca70bb73aee.html,,,,,
23,"Clinical_Data_Scientist_(Manager)_-_Groton,_CT_06340_-_Indeed.com_5e118f74384e090a.html",,,,,
24,Clinical_Statistical_Programmer_II_-_Remote_-_Indeed.com_951ab475814d0147.html,,,,,
25,"Cloud_AI-ML_Support_Engineer_(REMOTE)_-_Falls_Church,_VA_22042_-_Indeed.com_a0b5b14d9b80320b.html",,,,,
26,"Cloud_Data_Architect_(Technical_&_Presales)_REMOTE_-_Washington,_DC_-_Indeed.com_69247daab4a84a92.html",,,,,
27,"Cloud_Production_Data_Scientist_-_Danvers,_MA_01923_-_Indeed.com_30389e15a5e8b093.html",,,,,
28,"Cogito_Business_Intelligence_Developer,_Enterprise_Data_&_Digital_Health_-_Somerville,_MA_02145_-_Indeed.com_d21c98bda2722f98.html",,,,,
29,"Computational_Chemistry,_Machine_Learning_Scientist_(REMOTE)_2150cd7e95065d80.html",,,,,
30,"Consultant,_Statistical_Programming_-_California_-_Indeed.com_057d6842d938c6cd.html",,,,,
31,"Consultant,_Strategy_&_Analytics,_Analytics_&_Cognitive_-_Parsippany,_NJ_07054_-_Indeed.com_9e215d88a6b33622.html",,,,,
32,Credit_Risk_Data_Science_60b170cff66e1189.html,,,,,
33,Cutting_Edge_Data_Scientists_-_Massachusetts_-_Indeed.com_363925de4600860a.html,,,,,
34,"DATA_Analyst_-_Clinical_Statistician_@_Minneapolis,_MN_-_Minneapolis,_MN_-_Indeed.com_9ace5aa4e4fa6ce2.html",,,,,
35,"DATA_SCIENTIST,_CUSTOMER_ENABLEMENT_-_United_States_-_Indeed.com_cd22d01053af7669.html",,,,,
36,DATA_SCIENTIST_-_United_States_-_Indeed.com_275c5f5b90f6a797.html,,,,,
37,"Data_&_Database_Security_Architect_-_Cambridge,_MA_02142_-_Indeed.com_330c5c429679d5a0.html",,,,,
38,"Data_Analyst,_Data_Science_&_Analytics_-_Palo_Alto,_CA_-_Indeed.com_0fdc5c465a8b2a6c.html",,,,,
39,"Data_Analyst_(AI_ML_Team)_-_Washington,_DC_-_Indeed.com_c244fde40f782fe5.html",,,,,
40,"Data_Analyst_-_Austin,_TX_-_Indeed.com_fdc1a069c9c10402.html",,,,,
41,"Data_Analyst_Data_Scientist_-_Portland,_OR_97202_-_Indeed.com_d9a2e6caf751bd78.html",,,,,
42,"Data_Analyst_II_-_New_York,_NY_-_Indeed.com_1810e5ba987b8f8b.html",,,,,
43,"Data_Analyst_Scientist_-_Quantico,_VA_22134_-_Indeed.com_3dcf54f984042a46.html",,,,,
44,Data_Analyst_Senior_Data_Analyst_c0c9b22b34c58a63.html,,,,,
45,Data_Analytics_Instructor_59197f474527285d.html,,,,,
46,Data_Architect_-_Must_be_US_Citizen_and_7_years_of_experience_-_Remote_-_Indeed.com_e479ab56099cbb1d.html,,,,,
47,"Data_Engineer_-_Chicago,_IL_60606_-_Indeed.com_11aab4c86aeaacc1.html",,,,,
